User_ID,Gender,Age,Occupation,Study_hrs,Sleep_Hours,Screen_Time,Break_Count,Stress_Level,Mood,Productivity_Score,Burnout_Risk
U001,Female,21,Student,7,8,2,3,Low,Happy,9,Low
U002,Male,22,Student,3,5,8,7,High,Tired,4,High
U003,Female,24,Employee,8,7,3,2,Medium,Neutral,8,Medium
U004,Male,20,Student,2,4,9,8,High,Tired,3,High
U005,Female,25,Employee,6,7,4,3,Low,Happy,8,Low
U006,Male,23,Student,5,6,5,5,Medium,Neutral,6,Medium
U007,Female,26,Employee,9,8,2,2,Low,Happy,10,Low
U008,Male,21,Student,4,5,7,6,High,Tired,5,High
U009,Female,22,Student,7,7,3,3,Medium,Happy,8,Low
U010,Male,24,Employee,6,6,6,5,Medium,Neutral,6,Medium
U011,Female,20,Student,8,8,2,2,Low,Happy,9,Low
U012,Male,27,Employee,3,5,8,7,High,Tired,4,High
U013,Female,23,Student,6,7,4,3,Medium,Neutral,7,Medium
U014,Male,25,Employee,2,4,9,8,High,Tired,3,High
U015,Female,21,Student,9,8,1,2,Low,Happy,10,Low
U016,Male,26,Employee,5,6,5,4,Medium,Neutral,6,Medium
U017,Female,26,Student,7,7,3,3,Low,Happy,8,Low
U018,Male,24,Employee,4,5,7,6,High,Tired,5,High
U019,Female,20,Student,8,6,2,2,Low,Happy,9,Low
U020,Male,25,Employee,5,4,8,7,High,Tired,4,High
